					Annotator 1			Annotator 2			Annotator 3			Annotator 4			Annotator 5		
crawled-355249		💋	😭	😭	0	0	0	1	0	0	0	0	0	2	0	0	2	1	1
crawled-356948		💯	💯	💋	1	1	0	0	0	0	0	0	0	2	2	0	0	0	1
crawled-355218		❤	❤	💋	0	0	1	2	2	2	2	2	0	0	0	2	2	2	2
crawled-356732		❤	💋	❤	2	2	2	2	2	2	2	0	2	2	1	2	2	2	2
crawled-341321		💪	💪	😂	0	0	1	1	1	1	0	0	2	2	2	1	1	1	2
crawled-354859		😊	😊	💋	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2
all-956083		💋	💋	🎄	2	2	2	2	2	2	0	0	0	2	2	1	2	2	2
all-640864		❄	❄	🎄	2	2	2	1	1	1	2	2	0	2	2	1	2	2	2
crawled-340848		❤	💪	❤	0	0	0	1	1	1	0	0	0	1	1	1	2	1	2
all-713999		😊	😊	🎄	2	2	2	2	2	1	2	2	0	2	2	2	2	2	1
all-676615		💪	🎄	💪	2	0	2	2	0	2	2	0	2	2	0	2	2	2	2
all-714202		🎄	🔥	🔥	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2
all-656779		❤	🎄	❤	0	0	0	2	0	2	2	0	2	1	0	1	2	1	2
crawled-341046		💪	😭	😭	2	1	1	2	0	0	2	0	0	2	0	0	2	0	0
crawled-341352		🔥	💪	🔥	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1
all-900546		🎄	😊	😊	2	2	2	2	1	1	2	1	1	2	1	1	2	2	2
crawled-340779		😭	💪	😭	0	2	0	0	1	0	0	0	0	1	2	1	1	2	1
all-791514		❤	🎄	❤	0	2	0	1	0	1	0	0	0	0	2	0	2	1	2
all-743218		❤	❤	🎄	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1
all-656004		❤	🎄	❤	2	1	2	1	1	1	2	0	2	2	0	2	2	2	2
all-802850		🎄	✨	✨	0	0	0	0	0	0	0	1	1	0	0	0	1	2	2
crawled-340462		❤	💯	💪	2	1	2	2	0	2	2	2	2	2	1	2	2	2	2
crawled-341329		📷	💪	📷	0	0	0	1	0	1	0	0	0	1	1	1	2	1	2
crawled-342008		💪	💯	💯	2	2	2	1	1	1	2	2	2	2	1	1	2	2	2
crawled-341025		💪	📷	📷	2	0	0	2	1	1	2	0	0	2	0	0	2	1	1
crawled-341757		💪	😭	💪	2	0	2	2	0	2	2	0	2	2	0	2	2	1	2
crawled-340511		📷	💪	📷	0	0	0	1	1	1	0	0	0	0	2	0	2	2	2
crawled-321728		🔥	🔥	❄	0	0	0	0	0	0	0	0	0	1	1	0	2	2	1
crawled-341928		💪	🔥	🔥	0	0	0	0	1	1	0	0	0	1	2	2	2	2	2
crawled-321560		❄	✨	😊	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1
crawled-341793		💪	💯	💯	2	2	2	0	0	0	0	0	0	1	1	1	1	1	1
crawled-341101		😊	😊	💪	2	2	2	1	1	1	1	1	0	2	2	2	1	1	2
crawled-340619		💪	😭	😭	2	1	1	1	0	0	2	0	0	2	0	0	2	1	1
crawled-341236		💯	💪	💯	0	0	0	0	0	0	0	0	0	0	1	0	2	1	2
crawled-340678		🎉	💪	🎉	0	0	0	2	2	2	0	0	0	1	2	1	2	2	2
crawled-340721		😂	😂	💪	1	1	0	1	1	0	0	0	0	2	2	1	2	2	0
crawled-341572		💪	💯	💯	0	2	2	2	0	0	0	2	2	2	1	1	2	1	1
crawled-340745		😂	💪	😭	0	0	0	1	1	0	0	0	0	1	2	0	1	1	1
crawled-341864		🔥	💪	😭	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
crawled-341293		😭	💪	😭	0	0	0	0	2	0	0	0	0	0	2	0	1	2	1
crawled-341085		😊	😊	💪	2	2	2	1	1	1	1	1	0	2	2	1	2	2	2
crawled-340705		😊	💪	😊	2	2	2	2	1	2	2	0	2	2	0	2	2	1	2
crawled-341867		💪	💯	💪	2	2	2	1	0	1	2	0	2	1	0	1	2	1	2
crawled-321570		💯	❄	💯	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1
crawled-340753		💪	💯	💯	0	0	0	1	0	0	0	0	0	1	1	1	2	1	1
crawled-341931		💯	💯	💪	2	2	2	0	0	2	0	0	0	1	1	2	1	1	2
crawled-341412		💯	💪	❤	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1
crawled-321582		😭	😭	❄	2	2	2	1	1	1	0	0	0	2	2	2	2	2	2
crawled-321618		😂	😂	❄	2	2	1	1	1	1	0	0	1	2	2	1	2	2	2
crawled-321739		😭	❄	😂	2	1	2	1	0	1	0	0	0	1	0	2	2	0	1
crawled-321716		😂	😊	❄	0	0	0	1	1	1	0	0	0	1	0	2	1	1	2
all-933561		😂	😎	😂	0	0	0	1	1	1	0	0	0	2	2	2	1	1	1
all-995127		🔥	❤	❤	0	0	0	0	1	1	0	0	0	1	1	1	2	1	1
all-972448		😎	☀	☀	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2
crawled-315101		❄	✨	❄	0	0	0	0	1	0	0	2	0	0	2	0	1	2	1
crawled-192135		🎉	🎉	😊	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
crawled-355248		😊	💋	😊	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2
all-880224		😉	😂	😂	2	2	2	1	1	1	2	0	0	2	2	2	2	2	2
all-1038332		🎄	🎄	❤	0	0	1	0	0	1	0	0	0	0	0	2	1	1	2
crawled-355970		💋	😭	😭	0	0	0	1	1	1	0	0	0	1	1	1	2	0	0
crawled-336938		💯	💯	😎	2	2	2	0	0	1	0	0	2	1	1	0	1	1	2
crawled-29151		😂	💯	💯	0	0	0	1	0	0	2	0	0	1	0	0	2	0	0
all-666276		😂	💯	😂	0	0	0	1	0	1	0	0	0	2	0	2	2	1	2
crawled-205672		😭	🙌	😭	0	0	0	0	2	0	0	2	0	0	2	0	1	2	1
all-632841		😊	😊	☀	2	2	0	2	2	1	2	2	0	2	2	2	2	2	2
all-759805		😭	😭	😂	0	0	0	2	2	1	0	0	0	2	2	0	0	0	1
crawled-128496		😂	🔥	😂	0	0	0	1	0	1	0	0	0	1	1	1	1	2	1
all-1013361		❤	😎	❤	0	0	0	1	1	1	0	0	0	1	1	1	1	2	1
crawled-282124		❤	❤	😭	2	2	2	1	1	0	2	2	0	2	2	0	2	2	0
all-1054876		❤	❤	📷	2	2	2	1	1	1	2	2	2	2	2	1	2	2	1
crawled-194474		😭	😭	😊	0	0	1	0	0	1	0	0	2	0	0	2	0	0	1
all-857060		😎	😊	😊	1	2	2	1	1	1	2	1	1	2	2	2	2	2	2
crawled-331137		😭	😎	😭	0	2	0	0	2	0	0	2	0	0	1	0	0	2	0
all-669951		😊	📷	📷	2	0	0	2	1	1	1	0	0	2	1	1	2	1	1
all-846715		📷	📷	❤	0	0	0	1	1	1	0	0	0	0	0	2	1	1	2
crawled-206582		🙌	🔥	🔥	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0
crawled-106652		❤	😭	😭	0	0	0	1	0	0	0	0	0	2	1	1	1	1	1
crawled-383740		😊	📷	📷	1	0	0	2	1	1	2	0	0	2	0	0	2	1	1
all-625265		❤	❤	✨	1	1	1	2	2	1	0	0	0	2	2	1	2	2	1
all-822133		☀	😊	😊	1	2	2	1	2	2	2	2	2	0	2	2	1	2	2
all-965859		📷	😜	📷	0	2	0	1	1	1	0	2	0	1	2	1	2	1	2
all-1052304		❤	✨	✨	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1
crawled-266657		😂	😭	😂	2	0	2	2	0	2	2	0	2	2	0	2	2	1	2
all-886742		❤	❤	😎	2	2	2	2	2	1	0	0	0	2	2	1	2	2	2
all-835018		💯	💯	😉	0	0	0	0	0	1	0	0	0	0	0	2	1	1	2
crawled-189837		💯	💯	😊	1	1	2	0	0	2	0	0	2	2	2	2	1	1	2
crawled-210736		❤	😭	😭	2	0	0	1	0	0	0	0	0	0	2	2	2	1	1
all-610465		❤	❤	😊	2	2	2	1	1	1	0	0	1	1	1	2	2	2	2
all-751710		✨	✨	😊	0	0	1	1	1	1	0	0	1	1	1	2	1	1	1
all-603915		🎄	😊	🎄	2	2	2	1	1	1	2	2	2	1	2	1	1	2	1
